,Company,Title,link,Requirement since,location
28,Aditi Consulting,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-aditi-consulting-3780803837?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=1o6oUUFU2%2Fid1Bvfd1FYJQ%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Thousand Oaks, CA"
29,VPNforAndroid,Junior Machine Learning Engineer ( US Only),https://www.linkedin.com/jobs/view/junior-machine-learning-engineer-us-only-at-vpnforandroid-3791899852?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=r2vonRZKMYzMnJl5bqOKaQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Jacksonville, FL"
30,Lever Middleware Test Company 2,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-lever-middleware-test-company-2-3787335455?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=k2UssUWA3oznpAQVvRjtTA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,6 days ago,"San Francisco, CA"
31,Lever Middleware Test Company 2,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-lever-middleware-test-company-2-3787333992?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=XSf%2BklL%2FT53SGFJSJY14LA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,4 days ago,"San Diego, CA"
32,Redwood Logistics,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-redwood-logistics-3782779428?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=huKoucmpttlcF0zCagQ3Qw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Chicago, IL"
33,Zest AI,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-zest-ai-3766975032?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=Dc0DeKBh8qUXYBhZ3D5POA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,United States
34,Seneca Resources,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-seneca-resources-3782408142?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=%2F01%2FVTsdAgkxi4DQarj9iQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,Atlanta Metropolitan Area
35,National Reconnaissance Office (NRO),Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-national-reconnaissance-office-nro-3791908837?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=6PKkmTgsKO8fTRMqC99VoQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Chantilly, VA"
36,Kojo,Jr. Data Scientist,https://www.linkedin.com/jobs/view/jr-data-scientist-at-kojo-3786895084?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=2YvZitP%2BYk%2FmRuqcCHpkAA%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,United States
37,"FocusKPI, Inc.",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-focuskpi-inc-3792413200?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=NS%2Fgy1A2dmHrGYijmTo9MQ%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"San Francisco, CA"
38,CVS Health,Senior Data Scientist,https://www.linkedin.com/jobs/view/senior-data-scientist-at-cvs-health-3778569256?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=I9go3xaQxCWWLOK51x1eqw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago,United States
39,NEC X Inc.,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-nec-x-inc-3780209634?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=5JJbuR6Z6X%2BOncI6o45T9Q%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,"California, United States"
40,Snap Inc.,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-snap-inc-3787718475?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=hwwuHYZNTzZHh4vUPpVacw%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Palo Alto, CA"
41,NextPath Career Partners,Data Scientist (3536),https://www.linkedin.com/jobs/view/data-scientist-3536-at-nextpath-career-partners-3781906104?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=1AOqdJrZG4BvjJsHHamusA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"Florida, United States"
42,Colaberry,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-colaberry-3784808438?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=T9OhpXbUckdq%2Fa4Jg0pRlg%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,United States
43,Mattermore,Applied Data Scientist,https://www.linkedin.com/jobs/view/applied-data-scientist-at-mattermore-3775444616?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=YA55%2FTx2S60fWAXB1dskzg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,New York City Metropolitan Area
44,Henderson Scott,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-henderson-scott-3779811212?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=tWGCORskWdA2EaR1biVvQQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago,"San Francisco County, CA"
45,"Octapharma Plasma, Inc.",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-octapharma-plasma-inc-3783134754?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=ZJo7DgBXgZfUqPc0RMy%2Bqw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Charlotte, NC"
46,JDC Group,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-jdc-group-3778845279?refId=ge%2F7uHfXEYuwLUTseKKyMw%3D%3D&trackingId=YbT42Mze1Sm90%2FvcuUOAmA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago,United States
47,Lever Middleware Test Company 2,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-lever-middleware-test-company-2-3787339146?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=FPmIcoDtMS%2BDwNv94RTY%2FA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,2 weeks ago,San Francisco Bay Area
48,Ritual,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ritual-3779860203?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=3ZSXdeUUikJGvmZQN2od8Q%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,"New York, NY"
49,Cognitiv,Machine Learning Research Scientist,https://www.linkedin.com/jobs/view/machine-learning-research-scientist-at-cognitiv-3786717815?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=hHD1sUdjntbRQTWSCAnPOQ%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,"Berkeley, CA"
50,Holy Grail Inc,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-holy-grail-inc-3779188729?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=deQ5Ty8h%2BdxC2NZzF6scqw%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Fremont, CA"
51,doola,Data Scientist (Remote),https://www.linkedin.com/jobs/view/data-scientist-remote-at-doola-3784284794?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=dfiqsjsjglu50Mpbg5JeAw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,"New York, NY"
