,Company,Title,link,Requirement since,location
158,24 Seven Talent,Data Scientist (AI),https://www.linkedin.com/jobs/view/data-scientist-ai-at-24-seven-talent-3774825993?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=99VHFr7L5vjWg%2BZKrITiHA%3D%3D&position=12&pageNum=6&trk=public_jobs_jserp-result_search-card,3 days ago,United States
159,Mayo Clinic,Data Scientist - Full Remote,https://www.linkedin.com/jobs/view/data-scientist-full-remote-at-mayo-clinic-3790629691?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=biuIeZJvIaPlOqq2i7SPKw%3D%3D&position=13&pageNum=6&trk=public_jobs_jserp-result_search-card,6 days ago,"Jacksonville, FL"
160,Captivation,Data Scientist (Hybrid) - Python/R/Jupyter/Tableau,https://www.linkedin.com/jobs/view/data-scientist-hybrid-python-r-jupyter-tableau-at-captivation-3784831082?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=EkTHyi06wRrFOYJCC2g%2BdA%3D%3D&position=14&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"Augusta, GA"
161,Emerald Resource Group,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-emerald-resource-group-3787375093?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=v2aKVWiMXWxjesRmWvLKYQ%3D%3D&position=15&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Lake County, OH"
162,InfoVision Inc.,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-infovision-inc-3783947096?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=8q3OodrBTtYgN2uSDin3OA%3D%3D&position=16&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"Richardson, TX"
163,ASK Consulting,Data Scientist-IC2,https://www.linkedin.com/jobs/view/data-scientist-ic2-at-ask-consulting-3782411242?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=Roxpz1%2FQ7XEv9Hi5Vd9EFw%3D%3D&position=17&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"Santa Clara, CA"
164,Middesk,Data Scientist (Algorithms),https://www.linkedin.com/jobs/view/data-scientist-algorithms-at-middesk-3785895162?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=TZ6FOvpSBapm074paMHq0A%3D%3D&position=18&pageNum=6&trk=public_jobs_jserp-result_search-card,1 day ago,"San Francisco, CA"
165,"Prime Software Technologies, Inc.",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-prime-software-technologies-inc-3783925586?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=AevH7NuXDHWuZCyePE06wA%3D%3D&position=19&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Austin, Texas Metropolitan Area"
166,Alo Yoga,Inventory Data Scientists,https://www.linkedin.com/jobs/view/inventory-data-scientists-at-alo-yoga-3778880121?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=N5NcXQrCxKvQvopMDcGQ9Q%3D%3D&position=20&pageNum=6&trk=public_jobs_jserp-result_search-card,6 days ago,"Beverly Hills, CA"
167,"Enterprise Minds, Inc",Machine Learning Software Engineer,https://www.linkedin.com/jobs/view/machine-learning-software-engineer-at-enterprise-minds-inc-3782696731?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=%2FJ7qAVt%2F8BpdjqruCOAzjg%3D%3D&position=21&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"Mountain View, CA"
168,Brooksource,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-brooksource-3775446681?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=pzvTh3E7TV9mkYFC28wfMQ%3D%3D&position=22&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Indianapolis, IN"
169,AllSTEM Connections,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-allstem-connections-3777346302?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=j4%2F8mjFfLcaSFu81bGQaeA%3D%3D&position=23&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"San Diego, CA"
170,Roc Search,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-roc-search-3778896402?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=961Fqu20j7IHvU6yXOi7Lw%3D%3D&position=24&pageNum=6&trk=public_jobs_jserp-result_search-card,1 week ago,"Texas, United States"
171,SynergisticIT,Entry Level Data Scientist (Remote),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767592619?refId=oTjwufyN%2BUKhvs9Wgamn4w%3D%3D&trackingId=sc71ApxKfLWni4o7ghrBog%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Tampa, FL"
172,Intel Corporation,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-intel-corporation-3784836528?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=7Ggen7rXWfFw9GuBjFQlCg%3D%3D&position=1&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Hillsboro, OR"
173,"o9 Solutions, Inc.",Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-o9-solutions-inc-3777096026?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=NGBlSt0UjcvTXeXSsb7WuQ%3D%3D&position=2&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Texas, United States"
174,SynergisticIT,Entry Level Data Scientist(REMOTE),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767593641?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=FSBaBkKcGSJSvZ15S2umhw%3D%3D&position=3&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Houston, TX"
175,SynergisticIT,Entry Level Data Scientist,https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3767591895?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=02qTvu27%2BPHh8r%2BtZ6L%2BIQ%3D%3D&position=4&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"New York, NY"
176,Cash App,Senior Data Scientist - Support,https://www.linkedin.com/jobs/view/senior-data-scientist-support-at-cash-app-3778631828?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=v2V1qdHfBvsnGJ%2BW4oelVw%3D%3D&position=5&pageNum=7&trk=public_jobs_jserp-result_search-card,1 week ago,"San Francisco, CA"
177,Sud Recruiting,Marketing Data Scientist,https://www.linkedin.com/jobs/view/marketing-data-scientist-at-sud-recruiting-3775453083?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=zERG%2BSxRlIoYrleTxKQ5mA%3D%3D&position=6&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,United States
178,SynergisticIT,Entry Level Data Scientist (Remote),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767589892?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=jYm2nPhd0RSECINE6d697g%3D%3D&position=7&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Los Angeles, CA"
179,Cash App,"Decision Scientist, Disputes & Risk Partnerships - Afterpay",https://www.linkedin.com/jobs/view/decision-scientist-disputes-risk-partnerships-afterpay-at-cash-app-3784940112?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=9YBzakaKbBgX0MQmtqU3qg%3D%3D&position=8&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,"San Francisco, CA"
180,U.S. Department of Homeland Security,Data Scientist (Data Management),https://www.linkedin.com/jobs/view/data-scientist-data-management-at-u-s-department-of-homeland-security-3791564954?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=oN5GheT%2FBz4hFWZ2dQ0%2BJw%3D%3D&position=9&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Washington, DC"
181,Fusemachines,Lead Data Scientist,https://www.linkedin.com/jobs/view/lead-data-scientist-at-fusemachines-3787752391?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=cBY1%2BgDnNFkze%2FCxeBnNkw%3D%3D&position=10&pageNum=7&trk=public_jobs_jserp-result_search-card,1 week ago,"New York, NY"
182,Acro Service Corp,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-acro-service-corp-3780035393?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=CNvwuFwjBhgeJKkSQHJibg%3D%3D&position=11&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Mountain View, CA"
183,Incedo Inc.,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-incedo-inc-3775087920?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=K1urYgPA%2FlY0VOqNHL5mgw%3D%3D&position=12&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Basking Ridge, NJ"
184,Twill,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-twill-3783674794?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=r0zKvVCMdhGaXrZRWHBM5w%3D%3D&position=13&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,United States
185,Sky Consulting Inc.,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-sky-consulting-inc-3784200922?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=HOHC9qxXjv%2FyN%2Br7JawQDw%3D%3D&position=14&pageNum=7&trk=public_jobs_jserp-result_search-card,6 days ago,United States
186,Jefferies,Equity Research Data Strategy - Data Scientist,https://www.linkedin.com/jobs/view/equity-research-data-strategy-data-scientist-at-jefferies-3775822303?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=%2FGH%2FuSDujQsi5L91IgvXEw%3D%3D&position=15&pageNum=7&trk=public_jobs_jserp-result_search-card,1 week ago,"New York, NY"
187,SynergisticIT,Junior Data Scientist (Remote),https://www.linkedin.com/jobs/view/junior-data-scientist-remote-at-synergisticit-3767595213?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=r8k9T1BbbChFe1M0JAkN%2Bw%3D%3D&position=16&pageNum=7&trk=public_jobs_jserp-result_search-card,1 week ago,"Seattle, WA"
188,CODAMETRIX,Data Scientist III (LLM Researcher),https://www.linkedin.com/jobs/view/data-scientist-iii-llm-researcher-at-codametrix-3787775985?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=wOt%2F%2BwwFo%2BSybP5PVJ3fwQ%3D%3D&position=17&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Boston, MA"
189,SynergisticIT,Remote Data Scientist/Analyst (Entry/Junior Level),https://www.linkedin.com/jobs/view/remote-data-scientist-analyst-entry-junior-level-at-synergisticit-3787322350?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=tHoelm3RNvcElNTDWJ0kog%3D%3D&position=18&pageNum=7&trk=public_jobs_jserp-result_search-card,6 days ago,"Louisville, KY"
190,SynergisticIT,Entry Level Data Scientist (Remote),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767590752?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=gUzPoMhEQWXTjuE9wAPjHQ%3D%3D&position=19&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Escondido, CA"
191,U.S. Department of Homeland Security,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-u-s-department-of-homeland-security-3787104882?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=O0OY7bNm%2Fw42KcjzGG4U8A%3D%3D&position=20&pageNum=7&trk=public_jobs_jserp-result_search-card,1 week ago,"Laurel, MD"
192,Radley James,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-radley-james-3783659834?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=cuslzfqqZlOSWUU8PFIidQ%3D%3D&position=21&pageNum=7&trk=public_jobs_jserp-result_search-card,1 week ago,"Dallas, TX"
193,SynergisticIT,Junior Data Scientist (Remote),https://www.linkedin.com/jobs/view/junior-data-scientist-remote-at-synergisticit-3767592698?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=MwiwoBaieGeEot6X%2FoOLJw%3D%3D&position=22&pageNum=7&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Philadelphia, PA"
194,SynergisticIT,Data Scientist (Entry Level),https://www.linkedin.com/jobs/view/data-scientist-entry-level-at-synergisticit-3767591759?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=satCYGaTpT9tez3oaoVmRg%3D%3D&position=23&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Los Angeles, CA"
195,SynergisticIT,Entry level data scientist,https://www.linkedin.com/jobs/view/entry-level-data-scientist-at-synergisticit-3767592450?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=28ul8XpQdDWZzQ%2F7%2BZUvKA%3D%3D&position=24&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"San Jose, CA"
196,Stripe,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-stripe-3782575054?refId=XZLavdJt2SX1GxJ9fDNFSQ%3D%3D&trackingId=X6ApDOrV0LvacHIL0WELvg%3D%3D&position=25&pageNum=7&trk=public_jobs_jserp-result_search-card,2 weeks ago,"New York, United States"
197,Fulcrum Digital Inc,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-fulcrum-digital-inc-3779217015?refId=%2FMaN5ze%2FFxq53SsV1aBJcw%3D%3D&trackingId=QtVsYPwnXLM%2FdBjdmCQYTA%3D%3D&position=1&pageNum=8&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Edison, NJ"
198,Excelon Solutions,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-excelon-solutions-3782229208?refId=%2FMaN5ze%2FFxq53SsV1aBJcw%3D%3D&trackingId=z%2FaYWKHnJ7UsYMMKKbNJgA%3D%3D&position=2&pageNum=8&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Austin, TX"
199,Wellth,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-wellth-3772677686?refId=%2FMaN5ze%2FFxq53SsV1aBJcw%3D%3D&trackingId=22pUidmYtoOVkw3qI%2F4aEw%3D%3D&position=3&pageNum=8&trk=public_jobs_jserp-result_search-card,6 days ago,"Marina del Rey, CA"
